CodeletName,Bottleneck,L1 bound per SV-Node,Algorithm,Reduction/Recurrences,Array Access: Stride,Vectorization,Course,size
jacobi_5_sp_sse__size__big,Dispatch,FP,_B_SP: Sum of the upper half of a square matrix,Yes,0 & 1,V,2D Triangular/ 2D Arrays,big
lop_13_dp_sse__size__big,Dispatch,FP,_B_DP: Laplacian Finite Difference constant coefficients,No,stencil,V,2D Loops / 2D Arrays,big
ludcmp_4_sp_sse__size__big,Dispatch,LS,_B_SP: Dot product over lower half square matrix,Yes,0 & LDA & 1,V + S,2D Triangular/ 2D Arrays,big
matadd_16_dp_sse__size__big,Dispatch,LS,_B_DP: Sum of two square matrices element wise,No,1,V,2D Loops / 2D Arrays,big
mprove_8_mp_sse__size__big,Dispatch,FP,_B_MP: Dense Matrix x vector product,Yes,0 & 1,V + S,2D Loops / 1D and 2D Arrays,big
mprove_9_dp_sse__size__big,Dispatch,LS,_B_DP: Substracting a vector with a vector,No,1,V,1D Loops / 1D Arrays,big
realft_4_dp_sse__size__big,Dispatch,FP,_B_DP: FFT butterfly computation,No, 0 & 2 & -2,S,1D Loops / 1D Arrays,big
relax2_26_dp_sse__size__big,Div/Sqrt,FP,_B_DP: Red Black Sweeps Laplacian Operator constant coefficients,No,LDA & 0,S,3D Loops/ 2D Arrays,big
rstrct_29_dp_sse__size__big,Dispatch,FP,_B_DP: Multigrid Laplacian Fine to Coarse mesh transition,No,stencil,V + S,2D Loops / 2D Arrays,big
svbksb_3_sp_sse__size__big,Data Dependencies,FP,_B_SP: Dense Matrix x vector product,Yes,0 & 1,V,2D Loops / 1D and 2D Arrays,big
svdcmp_11_dp_sse__size__big,Dispatch,FP,_B_DP: Multiplying a matrix row by a scalar,No, LDA,S,1D Loops / 2D Arrays,big
svdcmp_13_dp_sse__size__big,Div/Sqrt,FP,_B_DP: Norm + Vector divide,Yes,1,V,1D Loops / 2D Arrays,big
svdcmp_14_dp_sse__size__big,Div/Sqrt,FP,_B_DP: Vector divide componentwise,No,0 & 1,V,1D Loops / 1D and 2D Arrays,big
svdcmp_6_dp_sse__size__big,Dispatch,FP,_B_DP: Sum of the absolute values of a matrix row,Yes,0 & LDA ,V + S,1D Loops / 2D Arrays,big
toeplz_1_dp_sse__size__big,Dispatch,FP,_B_DP: 2 simultaneous reductions,Yes,0 & 1 & -1,V + S,1D Loops / 1D Arrays,big
toeplz_2_dp_sse__size__big,Dispatch,LS,_B_DP: Vector multiply componentwise in asc./desc. order,No, 1 &  -1,S,1D Loops / 1D Arrays,big
toeplz_3_dp_sse__size__big,Data Dependencies,FP,_B_DP: 3 simultaneous reductions,Yes,0 & 1 & -1,V,1D Loops / 1D Arrays,big
toeplz_4_dp_sse__size__big,Dispatch,FP,_B_DP: Vector multiply in asc./desc. order,No,0 & 1,S,1D Loops / 1D Arrays,big
tridag_1_bet1_dt0_sse_initbet1__size__big,Div/Sqrt,FP,_B_DP: First order recurrence,Yes,0 & 1,S,1D Loops / 1D Arrays,big
tridag_1_dp_sse__size__big,Div/Sqrt,FP,_B_DP: First order recurrence,Yes,,,1D Loops / 1D Arrays,big
tridag_2_dp_sse__size__big,Data Dependencies,FP,_B_DP: First order recurrence,Yes,-1,S,1D Loops / 1D Arrays,big
